,PID,status,blockorder,condition_1,Zone.Type,ratings,condition_2,samplegroup
16503,11486031,complete,NSE,Empty_Negative,response_slider_endValue,7,empty 72 negative,82781
174614,11486031,complete,NSE,Empty_Negative,response_slider_endValue,6,empty 16 negative,82781
19007,11486010,complete,NSE,Empty_Negative,response_slider_endValue,-9,empty 72 negative,82781
199613,11486010,complete,NSE,Empty_Negative,response_slider_endValue,-9,empty 16 negative,82781
21504,11486053,complete,NSE,Empty_Negative,response_slider_endValue,7,empty 72 negative,82781
22469,11486053,complete,NSE,Empty_Negative,response_slider_endValue,7,empty 16 negative,82781
24002,11486056,complete,NSE,Empty_Negative,response_slider_endValue,8,empty 72 negative,82781
24967,11486056,complete,NSE,Empty_Negative,response_slider_endValue,7,empty 16 negative,82781
25942,11486201,complete,NSE,Empty_Negative,response_slider_endValue,5,empty 16 negative,82781
27464,11486201,complete,NSE,Empty_Negative,response_slider_endValue,4,empty 72 negative,82781
947,6067181,complete,NES,Trash_Single_Negative,response_slider_endValue,-4,single 16 negative,82781
24615,6067181,complete,NES,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,82781
4007,6067676,complete,NES,Trash_Single_Negative,response_slider_endValue,-10,single 72 negative,82781
49615,6067676,complete,NES,Trash_Single_Negative,response_slider_endValue,-10,single 16 negative,82781
59410,6067969,complete,NES,Trash_Single_Negative,response_slider_endValue,-3,single 16 negative,82781
74615,6067969,complete,NES,Trash_Single_Negative,response_slider_endValue,-6,single 72 negative,82781
8447,6070088,complete,NES,Trash_Single_Negative,response_slider_endValue,10,single 16 negative,82781
99615,6070088,complete,NES,Trash_Single_Negative,response_slider_endValue,10,single 72 negative,82781
10947,11486000,complete,NES,Trash_Single_Negative,response_slider_endValue,6,single 16 negative,82781
124615,11486000,complete,NES,Trash_Single_Negative,response_slider_endValue,5,single 72 negative,82781
14009,11486023,complete,NES,Trash_Single_Negative,response_slider_endValue,-2,single 72 negative,82781
149615,11486023,complete,NES,Trash_Single_Negative,response_slider_endValue,3,single 16 negative,82781
16504,11486035,complete,NES,Trash_Single_Negative,response_slider_endValue,-5,single 72 negative,82781
174615,11486035,complete,NES,Trash_Single_Negative,response_slider_endValue,-4,single 16 negative,82781
18446,11486025,complete,NES,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,82781
199614,11486025,complete,NES,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,82781
21505,11486017,complete,NES,Trash_Single_Negative,response_slider_endValue,2,single 72 negative,82781
224610,11486017,complete,NES,Trash_Single_Negative,response_slider_endValue,10,single 16 negative,82781
1508,6067103,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,82781
24616,6067103,complete,NSE,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
4008,6067686,complete,NSE,Trash_Single_Positive,response_slider_endValue,10,single 72 positive,82781
49616,6067686,complete,NSE,Trash_Single_Positive,response_slider_endValue,10,single 16 positive,82781
59411,6067705,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 16 positive,82781
74616,6067705,complete,NSE,Trash_Single_Positive,response_slider_endValue,1,single 72 positive,82781
8448,6067920,complete,NSE,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
99616,6067920,complete,NSE,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,82781
10948,6080138,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 16 positive,82781
124616,6080138,complete,NSE,Trash_Single_Positive,response_slider_endValue,2,single 72 positive,82781
13446,11486031,complete,NSE,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
149616,11486031,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
159411,11486053,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,82781
174616,11486053,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
19008,11486011,complete,NSE,Trash_Single_Positive,response_slider_endValue,9,single 72 positive,82781
199615,11486011,complete,NSE,Trash_Single_Positive,response_slider_endValue,-7,single 16 positive,82781
21506,11486056,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
224611,11486056,complete,NSE,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
24003,11486010,complete,NSE,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
24968,11486010,complete,NSE,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
26502,11486201,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,82781
27465,11486201,complete,NSE,Trash_Single_Positive,response_slider_endValue,4,single 16 positive,82781
782,6067091,complete,ENS,No D Events,response_slider_endValue,8,noD positive,82781
1582,6067091,complete,ENS,No D Events,response_slider_endValue,1,noD negative,82781
2402,6067172,complete,ENS,No D Events,response_slider_endValue,-3,noD negative,82781
3202,6067172,complete,ENS,No D Events,response_slider_endValue,8,noD positive,82781
4022,6067702,complete,ENS,No D Events,response_slider_endValue,7,noD positive,82781
4822,6067702,complete,ENS,No D Events,response_slider_endValue,-7,noD negative,82781
5642,6067740,complete,ENS,No D Events,response_slider_endValue,-4,noD negative,82781
6442,6067740,complete,ENS,No D Events,response_slider_endValue,-5,noD positive,82781
7262,6067939,complete,ENS,No D Events,response_slider_endValue,8,noD positive,82781
8062,6067939,complete,ENS,No D Events,response_slider_endValue,3,noD negative,82781
8882,11485998,complete,ENS,No D Events,response_slider_endValue,-3,noD positive,82781
9682,11485998,complete,ENS,No D Events,response_slider_endValue,3,noD negative,82781
10502,11485999,complete,ENS,No D Events,response_slider_endValue,8,noD positive,82781
11302,11485999,complete,ENS,No D Events,response_slider_endValue,-8,noD negative,82781
12122,11485990,complete,ENS,No D Events,response_slider_endValue,7,noD positive,82781
12922,11485990,complete,ENS,No D Events,response_slider_endValue,-5,noD negative,82781
1374,11486039,complete,ENS,No D Events,response_slider_endValue,4,noD positive,82781
1454,11486039,complete,ENS,No D Events,response_slider_endValue,-5,noD negative,82781
1536,11486015,complete,ENS,No D Events,response_slider_endValue,-4,noD positive,82781
1616,11486015,complete,ENS,No D Events,response_slider_endValue,4,noD negative,82781
1698,11486198,complete,ENS,No D Events,response_slider_endValue,8,noD positive,82781
1778,11486198,complete,ENS,No D Events,response_slider_endValue,8,noD negative,82781
948,6067162,complete,SEN,Empty_Positive,response_slider_endValue,1,empty 16 positive,82781
24617,6067162,complete,SEN,Empty_Positive,response_slider_endValue,2,empty 72 positive,82781
4009,6067980,complete,SEN,Empty_Positive,response_slider_endValue,-1,empty 72 positive,82781
49617,6067980,complete,SEN,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
6505,6068022,complete,SEN,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
74617,6068022,complete,SEN,Empty_Positive,response_slider_endValue,3,empty 16 positive,82781
9008,11486009,complete,SEN,Empty_Positive,response_slider_endValue,5,empty 72 positive,82781
99617,11486009,complete,SEN,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
11508,11486013,complete,SEN,Empty_Positive,response_slider_endValue,8,empty 72 positive,82781
124617,11486013,complete,SEN,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
13447,11486005,complete,SEN,Empty_Positive,response_slider_endValue,1,empty 16 positive,82781
149617,11486005,complete,SEN,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
16505,11486052,complete,SEN,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
174617,11486052,complete,SEN,Empty_Positive,response_slider_endValue,6,empty 16 positive,82781
18447,11486074,complete,SEN,Empty_Positive,response_slider_endValue,10,empty 16 positive,82781
199616,11486074,complete,SEN,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
1509,6067162,complete,SEN,Empty_Negative,response_slider_endValue,-5,empty 72 negative,82781
24618,6067162,complete,SEN,Empty_Negative,response_slider_endValue,-5,empty 16 negative,82781
40010,6067980,complete,SEN,Empty_Negative,response_slider_endValue,1,empty 72 negative,82781
49618,6067980,complete,SEN,Empty_Negative,response_slider_endValue,1,empty 16 negative,82781
6506,6068022,complete,SEN,Empty_Negative,response_slider_endValue,-4,empty 72 negative,82781
74618,6068022,complete,SEN,Empty_Negative,response_slider_endValue,1,empty 16 negative,82781
9009,11486013,complete,SEN,Empty_Negative,response_slider_endValue,-9,empty 72 negative,82781
99618,11486013,complete,SEN,Empty_Negative,response_slider_endValue,-8,empty 16 negative,82781
11509,11486009,complete,SEN,Empty_Negative,response_slider_endValue,5,empty 72 negative,82781
124618,11486009,complete,SEN,Empty_Negative,response_slider_endValue,-3,empty 16 negative,82781
140010,11486052,complete,SEN,Empty_Negative,response_slider_endValue,6,empty 72 negative,82781
149618,11486052,complete,SEN,Empty_Negative,response_slider_endValue,5,empty 16 negative,82781
159412,11486005,complete,SEN,Empty_Negative,response_slider_endValue,-8,empty 16 negative,82781
174618,11486005,complete,SEN,Empty_Negative,response_slider_endValue,-3,empty 72 negative,82781
18448,11486074,complete,SEN,Empty_Negative,response_slider_endValue,7,empty 16 negative,82781
199617,11486074,complete,SEN,Empty_Negative,response_slider_endValue,7,empty 72 negative,82781
783,6067103,complete,NSE,No D Events,response_slider_endValue,-4,noD negative,82781
1583,6067103,complete,NSE,No D Events,response_slider_endValue,6,noD positive,82781
2403,6067686,complete,NSE,No D Events,response_slider_endValue,-10,noD positive,82781
3203,6067686,complete,NSE,No D Events,response_slider_endValue,10,noD negative,82781
4023,6067705,complete,NSE,No D Events,response_slider_endValue,2,noD negative,82781
4823,6067705,complete,NSE,No D Events,response_slider_endValue,10,noD positive,82781
5643,6067920,complete,NSE,No D Events,response_slider_endValue,7,noD positive,82781
6443,6067920,complete,NSE,No D Events,response_slider_endValue,2,noD negative,82781
7263,6080138,complete,NSE,No D Events,response_slider_endValue,5,noD positive,82781
8063,6080138,complete,NSE,No D Events,response_slider_endValue,3,noD negative,82781
8883,11486011,complete,NSE,No D Events,response_slider_endValue,8,noD positive,82781
9683,11486011,complete,NSE,No D Events,response_slider_endValue,8,noD negative,82781
10503,11486031,complete,NSE,No D Events,response_slider_endValue,7,noD positive,82781
11303,11486031,complete,NSE,No D Events,response_slider_endValue,8,noD negative,82781
12123,11486010,complete,NSE,No D Events,response_slider_endValue,9,noD positive,82781
12923,11486010,complete,NSE,No D Events,response_slider_endValue,-10,noD negative,82781
13741,11486053,complete,NSE,No D Events,response_slider_endValue,6,noD negative,82781
14541,11486053,complete,NSE,No D Events,response_slider_endValue,6,noD positive,82781
15361,11486056,complete,NSE,No D Events,response_slider_endValue,6,noD positive,82781
16161,11486056,complete,NSE,No D Events,response_slider_endValue,6,noD negative,82781
16981,11486201,complete,NSE,No D Events,response_slider_endValue,4,noD positive,82781
17781,11486201,complete,NSE,No D Events,response_slider_endValue,4,noD negative,82781
949,6067162,complete,SEN,Trash_Single_Negative,response_slider_endValue,2,single 16 negative,82781
24619,6067162,complete,SEN,Trash_Single_Negative,response_slider_endValue,0,single 72 negative,82781
3448,6067980,complete,SEN,Trash_Single_Negative,response_slider_endValue,3,single 16 negative,82781
49619,6067980,complete,SEN,Trash_Single_Negative,response_slider_endValue,0,single 72 negative,82781
6507,6068022,complete,SEN,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,82781
74619,6068022,complete,SEN,Trash_Single_Negative,response_slider_endValue,-2,single 16 negative,82781
90010,11486013,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,82781
99619,11486013,complete,SEN,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,82781
10949,11486009,complete,SEN,Trash_Single_Negative,response_slider_endValue,5,single 16 negative,82781
124619,11486009,complete,SEN,Trash_Single_Negative,response_slider_endValue,6,single 72 negative,82781
140011,11486052,complete,SEN,Trash_Single_Negative,response_slider_endValue,7,single 72 negative,82781
149619,11486052,complete,SEN,Trash_Single_Negative,response_slider_endValue,5,single 16 negative,82781
16506,11486005,complete,SEN,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,82781
174619,11486005,complete,SEN,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,82781
19009,11486074,complete,SEN,Trash_Single_Negative,response_slider_endValue,9,single 72 negative,82781
199618,11486074,complete,SEN,Trash_Single_Negative,response_slider_endValue,10,single 16 negative,82781
9410,6067181,complete,NES,Empty_Negative,response_slider_endValue,-5,empty 16 negative,82781
24620,6067181,complete,NES,Empty_Negative,response_slider_endValue,-4,empty 72 negative,82781
40011,6067676,complete,NES,Empty_Negative,response_slider_endValue,-3,empty 72 negative,82781
49620,6067676,complete,NES,Empty_Negative,response_slider_endValue,0,empty 16 negative,82781
6508,6067969,complete,NES,Empty_Negative,response_slider_endValue,0,empty 72 negative,82781
74620,6067969,complete,NES,Empty_Negative,response_slider_endValue,10,empty 16 negative,82781
90011,6070088,complete,NES,Empty_Negative,response_slider_endValue,9,empty 72 negative,82781
99620,6070088,complete,NES,Empty_Negative,response_slider_endValue,10,empty 16 negative,82781
109410,11486000,complete,NES,Empty_Negative,response_slider_endValue,-4,empty 16 negative,82781
124620,11486000,complete,NES,Empty_Negative,response_slider_endValue,-5,empty 72 negative,82781
13448,11486023,complete,NES,Empty_Negative,response_slider_endValue,2,empty 16 negative,82781
149620,11486023,complete,NES,Empty_Negative,response_slider_endValue,-3,empty 72 negative,82781
159413,11486017,complete,NES,Empty_Negative,response_slider_endValue,4,empty 16 negative,82781
174620,11486017,complete,NES,Empty_Negative,response_slider_endValue,-7,empty 72 negative,82781
18449,11486025,complete,NES,Empty_Negative,response_slider_endValue,-7,empty 16 negative,82781
199619,11486025,complete,NES,Empty_Negative,response_slider_endValue,-9,empty 72 negative,82781
20945,11486035,complete,NES,Empty_Negative,response_slider_endValue,-6,empty 16 negative,82781
224612,11486035,complete,NES,Empty_Negative,response_slider_endValue,-6,empty 72 negative,82781
9411,6067110,complete,ESN,Empty_Negative,response_slider_endValue,-4,empty 16 negative,82781
24621,6067110,complete,ESN,Empty_Negative,response_slider_endValue,-5,empty 72 negative,82781
40012,6067617,complete,ESN,Empty_Negative,response_slider_endValue,-7,empty 72 negative,82781
49621,6067617,complete,ESN,Empty_Negative,response_slider_endValue,-2,empty 16 negative,82781
6509,6067865,complete,ESN,Empty_Negative,response_slider_endValue,-7,empty 72 negative,82781
74621,6067865,complete,ESN,Empty_Negative,response_slider_endValue,-8,empty 16 negative,82781
8449,6068488,complete,ESN,Empty_Negative,response_slider_endValue,1,empty 16 negative,82781
99621,6068488,complete,ESN,Empty_Negative,response_slider_endValue,6,empty 72 negative,82781
115010,11485988,complete,ESN,Empty_Negative,response_slider_endValue,8,empty 72 negative,82781
124621,11485988,complete,ESN,Empty_Negative,response_slider_endValue,-9,empty 16 negative,82781
140012,11486019,complete,ESN,Empty_Negative,response_slider_endValue,5,empty 72 negative,82781
149621,11486019,complete,ESN,Empty_Negative,response_slider_endValue,7,empty 16 negative,82781
16507,11486012,complete,ESN,Empty_Negative,response_slider_endValue,-5,empty 72 negative,82781
174621,11486012,complete,ESN,Empty_Negative,response_slider_endValue,-1,empty 16 negative,82781
184410,11486040,complete,ESN,Empty_Negative,response_slider_endValue,3,empty 16 negative,82781
199620,11486040,complete,ESN,Empty_Negative,response_slider_endValue,1,empty 72 negative,82781
21507,11486036,complete,ESN,Empty_Negative,response_slider_endValue,-8,empty 72 negative,82781
224613,11486036,complete,ESN,Empty_Negative,response_slider_endValue,-9,empty 16 negative,82781
24004,11486194,complete,ESN,Empty_Negative,response_slider_endValue,4,empty 72 negative,82781
24969,11486194,complete,ESN,Empty_Negative,response_slider_endValue,6,empty 16 negative,82781
784,6067110,complete,ESN,No D Events,response_slider_endValue,6,noD positive,82781
1584,6067110,complete,ESN,No D Events,response_slider_endValue,-4,noD negative,82781
2404,6067617,complete,ESN,No D Events,response_slider_endValue,-2,noD negative,82781
3204,6067617,complete,ESN,No D Events,response_slider_endValue,5,noD positive,82781
4024,6067865,complete,ESN,No D Events,response_slider_endValue,7,noD positive,82781
4824,6067865,complete,ESN,No D Events,response_slider_endValue,-8,noD negative,82781
5644,6068488,complete,ESN,No D Events,response_slider_endValue,9,noD positive,82781
6444,6068488,complete,ESN,No D Events,response_slider_endValue,-10,noD negative,82781
7264,11485988,complete,ESN,No D Events,response_slider_endValue,7,noD positive,82781
8064,11485988,complete,ESN,No D Events,response_slider_endValue,7,noD negative,82781
8884,11486012,complete,ESN,No D Events,response_slider_endValue,-9,noD negative,82781
9684,11486012,complete,ESN,No D Events,response_slider_endValue,2,noD positive,82781
10504,11486036,complete,ESN,No D Events,response_slider_endValue,-4,noD negative,82781
11304,11486036,complete,ESN,No D Events,response_slider_endValue,7,noD positive,82781
12124,11486019,complete,ESN,No D Events,response_slider_endValue,7,noD negative,82781
12924,11486019,complete,ESN,No D Events,response_slider_endValue,8,noD positive,82781
13742,11486040,complete,ESN,No D Events,response_slider_endValue,2,noD negative,82781
14542,11486040,complete,ESN,No D Events,response_slider_endValue,7,noD positive,82781
15362,11486194,complete,ESN,No D Events,response_slider_endValue,6,noD positive,82781
16162,11486194,complete,ESN,No D Events,response_slider_endValue,6,noD negative,82781
785,6067181,complete,NES,No D Events,response_slider_endValue,-5,noD positive,82781
1585,6067181,complete,NES,No D Events,response_slider_endValue,1,noD negative,82781
2405,6067676,complete,NES,No D Events,response_slider_endValue,5,noD negative,82781
3205,6067676,complete,NES,No D Events,response_slider_endValue,8,noD positive,82781
4025,6067969,complete,NES,No D Events,response_slider_endValue,-1,noD negative,82781
4825,6067969,complete,NES,No D Events,response_slider_endValue,6,noD positive,82781
5645,6070088,complete,NES,No D Events,response_slider_endValue,6,noD positive,82781
6445,6070088,complete,NES,No D Events,response_slider_endValue,10,noD negative,82781
7265,11486000,complete,NES,No D Events,response_slider_endValue,6,noD negative,82781
8065,11486000,complete,NES,No D Events,response_slider_endValue,5,noD positive,82781
8885,11486023,complete,NES,No D Events,response_slider_endValue,6,noD negative,82781
9685,11486023,complete,NES,No D Events,response_slider_endValue,7,noD positive,82781
10505,11486025,complete,NES,No D Events,response_slider_endValue,-1,noD negative,82781
11305,11486025,complete,NES,No D Events,response_slider_endValue,2,noD positive,82781
12125,11486035,complete,NES,No D Events,response_slider_endValue,5,noD positive,82781
12925,11486035,complete,NES,No D Events,response_slider_endValue,-5,noD negative,82781
13743,11486017,complete,NES,No D Events,response_slider_endValue,1,noD negative,82781
14543,11486017,complete,NES,No D Events,response_slider_endValue,7,noD positive,82781
9412,6067162,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
24622,6067162,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
3449,6068022,complete,SEN,Trash_Single_Positive,response_slider_endValue,4,single 16 positive,82781
49622,6068022,complete,SEN,Trash_Single_Positive,response_slider_endValue,-3,single 72 positive,82781
59412,6067980,complete,SEN,Trash_Single_Positive,response_slider_endValue,-2,single 16 positive,82781
74622,6067980,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
90012,11486009,complete,SEN,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
99622,11486009,complete,SEN,Trash_Single_Positive,response_slider_endValue,-7,single 16 positive,82781
115011,11486005,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
124622,11486005,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
13449,11486013,complete,SEN,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
149622,11486013,complete,SEN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
159414,11486052,complete,SEN,Trash_Single_Positive,response_slider_endValue,0,single 16 positive,82781
174622,11486052,complete,SEN,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,82781
184411,11486074,complete,SEN,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,82781
199621,11486074,complete,SEN,Trash_Single_Positive,response_slider_endValue,9,single 72 positive,82781
9413,6067091,complete,ENS,Trash_Single_Negative,response_slider_endValue,6,single 16 negative,82781
24623,6067091,complete,ENS,Trash_Single_Negative,response_slider_endValue,3,single 72 negative,82781
40013,6067172,complete,ENS,Trash_Single_Negative,response_slider_endValue,-5,single 72 negative,82781
49623,6067172,complete,ENS,Trash_Single_Negative,response_slider_endValue,-2,single 16 negative,82781
59413,6067702,complete,ENS,Trash_Single_Negative,response_slider_endValue,2,single 16 negative,82781
74623,6067702,complete,ENS,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,82781
90013,6067740,complete,ENS,Trash_Single_Negative,response_slider_endValue,4,single 72 negative,82781
99623,6067740,complete,ENS,Trash_Single_Negative,response_slider_endValue,3,single 16 negative,82781
115012,6067939,complete,ENS,Trash_Single_Negative,response_slider_endValue,-4,single 72 negative,82781
124623,6067939,complete,ENS,Trash_Single_Negative,response_slider_endValue,0,single 16 negative,82781
134410,11485998,complete,ENS,Trash_Single_Negative,response_slider_endValue,-1,single 16 negative,82781
149623,11485998,complete,ENS,Trash_Single_Negative,response_slider_endValue,1,single 72 negative,82781
16508,11485999,complete,ENS,Trash_Single_Negative,response_slider_endValue,7,single 72 negative,82781
174623,11485999,complete,ENS,Trash_Single_Negative,response_slider_endValue,0,single 16 negative,82781
190010,11485990,complete,ENS,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,82781
199622,11485990,complete,ENS,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,82781
21508,11486039,complete,ENS,Trash_Single_Negative,response_slider_endValue,-4,single 72 negative,82781
224614,11486039,complete,ENS,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,82781
23445,11486015,complete,ENS,Trash_Single_Negative,response_slider_endValue,-4,single 16 negative,82781
249610,11486015,complete,ENS,Trash_Single_Negative,response_slider_endValue,-5,single 72 negative,82781
26503,11486198,complete,ENS,Trash_Single_Negative,response_slider_endValue,8,single 72 negative,82781
27466,11486198,complete,ENS,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
94,6089196,complete,ENS,Empty_Positive,response_slider_endValue,3,empty 16 positive,74297
246,6089196,complete,ENS,Empty_Positive,response_slider_endValue,6,empty 72 positive,74297
344,6054173,complete,ENS,Empty_Positive,response_slider_endValue,0,empty 16 positive,74297
496,6054173,complete,ENS,Empty_Positive,response_slider_endValue,5,empty 72 positive,74297
594,6020569,complete,ENS,Empty_Positive,response_slider_endValue,-2,empty 16 positive,74297
746,6020569,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 72 positive,74297
900,5968425,complete,ENS,Empty_Positive,response_slider_endValue,5,empty 72 positive,74297
996,5968425,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 16 positive,74297
941,5950660,complete,NSE,Empty_Positive,response_slider_endValue,8,empty 16 positive,74297
2461,5950660,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 72 positive,74297
400,5974532,complete,NSE,Empty_Positive,response_slider_endValue,3,empty 72 positive,74297
4961,5974532,complete,NSE,Empty_Positive,response_slider_endValue,6,empty 16 positive,74297
650,6030824,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 72 positive,74297
7461,6030824,complete,NSE,Empty_Positive,response_slider_endValue,1,empty 16 positive,74297
844,6055086,complete,NSE,Empty_Positive,response_slider_endValue,2,empty 16 positive,74297
9961,6055086,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 72 positive,74297
1094,6081903,complete,NSE,Empty_Positive,response_slider_endValue,5,empty 16 positive,74297
1246,6081903,complete,NSE,Empty_Positive,response_slider_endValue,5,empty 72 positive,74297
942,5946414,complete,ESN,Empty_Positive,response_slider_endValue,5,empty 16 positive,74297
2462,5946414,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 72 positive,74297
3441,5973022,complete,ESN,Empty_Positive,response_slider_endValue,0,empty 16 positive,74297
4962,5973022,complete,ESN,Empty_Positive,response_slider_endValue,2,empty 72 positive,74297
6501,6031610,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 72 positive,74297
7462,6031610,complete,ESN,Empty_Positive,response_slider_endValue,6,empty 16 positive,74297
8441,6055404,complete,ESN,Empty_Positive,response_slider_endValue,-1,empty 16 positive,74297
9962,6055404,complete,ESN,Empty_Positive,response_slider_endValue,3,empty 72 positive,74297
150,6096174,complete,NES,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,74297
2463,6096174,complete,NES,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,74297
4001,5947992,complete,NES,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,74297
4963,5947992,complete,NES,Trash_Single_Positive,response_slider_endValue,0,single 16 positive,74297
5941,5970293,complete,NES,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,74297
7463,5970293,complete,NES,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,74297
8442,6047614,complete,NES,Trash_Single_Positive,response_slider_endValue,4,single 16 positive,74297
9963,6047614,complete,NES,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,74297
1501,6047614,complete,NES,Empty_Positive,response_slider_endValue,8,empty 72 positive,74297
2464,6047614,complete,NES,Empty_Positive,response_slider_endValue,6,empty 16 positive,74297
3442,5970293,complete,NES,Empty_Positive,response_slider_endValue,3,empty 16 positive,74297
4964,5970293,complete,NES,Empty_Positive,response_slider_endValue,4,empty 72 positive,74297
6502,5947992,complete,NES,Empty_Positive,response_slider_endValue,6,empty 72 positive,74297
7464,5947992,complete,NES,Empty_Positive,response_slider_endValue,7,empty 16 positive,74297
8443,6096174,complete,NES,Empty_Positive,response_slider_endValue,4,empty 16 positive,74297
9964,6096174,complete,NES,Empty_Positive,response_slider_endValue,2,empty 72 positive,74297
1502,6089196,complete,ENS,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,74297
2465,6089196,complete,ENS,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
4002,6054173,complete,ENS,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
4965,6054173,complete,ENS,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,74297
6503,6020569,complete,ENS,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,74297
7465,6020569,complete,ENS,Trash_Single_Positive,response_slider_endValue,3,single 16 positive,74297
8444,5968425,complete,ENS,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,74297
9965,5968425,complete,ENS,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,74297
1503,5950660,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
2466,5950660,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,74297
4003,5974532,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
4966,5974532,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,74297
6504,6030824,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,74297
7466,6030824,complete,NSE,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,74297
9001,6055086,complete,NSE,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,74297
9966,6055086,complete,NSE,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,74297
1150,6081903,complete,NSE,Trash_Single_Negative,response_slider_endValue,-7,single 72 negative,74297
12461,6081903,complete,NSE,Trash_Single_Negative,response_slider_endValue,-7,single 16 negative,74297
1504,6099951,complete,SNE,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
2467,6099951,complete,SNE,Trash_Single_Positive,response_slider_endValue,0,single 16 positive,74297
4004,6050808,complete,SNE,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,74297
4967,6050808,complete,SNE,Trash_Single_Positive,response_slider_endValue,-7,single 16 positive,74297
6505,6026267,complete,SNE,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,74297
7467,6026267,complete,SNE,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,74297
